cl_id,cl_tracked,cl_fraud,cl_refunded,cb_amount,rf_amount,pv,revenue,co_name,gender,datecl,payment_method,mid,pid,card_brand,ps_id,pss_id
6942,1,0,0,44.92,25.12,1363.8,355.76,Netherlands,male,2021-01-04,Bank transfers,241,1048,MasterCard,36,9
7678,0,1,0,8.28,17.36,3346.72,710.56,Spain,male,2021-02-23,Bank transfers,149,1067,Amex,21,40
4805,1,1,0,29.44,20.8,2649.12,761.44,Brazil,male,2021-01-04,Bank transfers,6,1268,Visa,32,36
4370,0,1,0,48.48,23.36,4583.64,921.96,Netherlands,male,2021-02-09,Prepaid cards,63,1077,Visa,65,43
9736,0,1,1,38.72,29.4,2297.48,397.04,Spain,male,2021-02-24,Mobile,153,1289,MasterCard,51,15
4239,1,1,1,28.24,8.2,2512.32,972.64,United States,male,2021-02-08,Prepaid cards,138,1238,Amex,37,34
8774,1,0,0,38.84,43.24,1991.76,199.28,Finland,female,2021-03-30,Credit cards,11,1187,MasterCard,30,42
518,1,1,1,24.16,42.88,1890.28,689.04,Switzerland,male,2021-03-12,Credit cards,197,1162,Amex,36,20
2335,1,1,1,16.32,48.76,4523.64,809.92,Spain,male,2021-03-14,Prepaid cards,282,1146,MasterCard,43,34
7861,0,0,0,8.32,3.96,1956.44,276.48,Norway,male,2021-03-09,Mobile,119,1005,Amex,2,1
4092,0,0,1,42.48,17.4,1109.08,679,Netherlands,female,2021-02-27,Credit cards,97,1112,JBC,50,42
1347,0,0,1,16.8,13.84,3122.68,291.84,Ireland,male,2021-02-05,Mobile,233,1067,Visa,7,91
312,0,0,1,32.84,36.92,2520,147.44,New Zealand,female,2021-02-15,E-Wallet,46,1065,Amex,25,43
2122,0,0,1,27.84,20.2,2705.68,742.68,Denmark,female,2021-02-09,Prepaid cards,94,1026,JBC,98,9
5879,0,0,0,28.48,16.68,1505.28,607.36,Ireland,male,2021-02-28,E-Wallet,256,1170,Amex,83,2
2322,0,1,0,28.68,6.2,4783.28,534.36,United Kingdom,male,2021-01-05,Credit cards,225,1083,Amex,39,9
5217,1,1,1,37.28,8.04,2671.32,345.64,France,female,2021-02-18,Mobile,294,1282,Amex,19,4
729,0,0,0,39.72,49,3858.4,68.24,Spain,male,2021-04-01,Mobile,99,1243,MasterCard,62,38
5919,1,0,0,7.52,37.12,4404.4,769.44,Iran,female,2021-01-07,Credit cards,102,1013,Amex,28,25
3823,1,0,1,21.04,35.24,1772.52,616.6,Iran,female,2021-03-20,Mobile,162,1129,MasterCard,69,52
1112,1,1,1,34.2,8.96,2034.52,240.28,Turkey,female,2021-02-04,Credit cards,289,1122,MasterCard,44,94
5140,1,1,0,38.8,33.84,2140.16,955.88,Australia,female,2021-03-25,Mobile,56,1100,JBC,89,48
2910,1,0,0,29.04,16.36,2197.72,83.64,France,female,2021-03-29,Credit cards,211,1205,MasterCard,46,86
8001,1,1,1,16.76,14.16,2579.28,279.6,Norway,male,2021-01-12,Credit cards,111,1206,MasterCard,74,19
2306,0,1,0,38.16,43.32,3923.8,833.92,Ireland,female,2021-01-23,Credit cards,77,1135,Visa,35,3
2070,0,1,0,17.32,33.32,2151.4,567.52,United States,male,2021-03-03,Mobile,170,1130,Visa,16,18
9236,0,0,0,2.24,22.28,1423.32,989.48,France,male,2021-02-26,Mobile,51,1108,JBC,67,26
8025,1,1,1,48.08,18.68,3197.48,280.56,United Kingdom,male,2021-01-24,E-Wallet,196,1286,MasterCard,15,56
2507,0,1,1,10.04,2.16,2750.88,199.16,Spain,female,2021-01-10,Credit cards,81,1220,Amex,65,17
1735,1,1,1,6.36,43.24,4678.36,676.8,Australia,male,2021-01-12,Credit cards,76,1286,MasterCard,73,89
2662,0,0,1,48.52,15.44,3714.96,379.92,Canada,female,2021-03-15,Mobile,82,1250,MasterCard,84,78
6268,0,0,1,14.2,46.2,4196.16,863.28,Canada,female,2021-01-20,E-Wallet,300,1175,Amex,39,76
7655,1,1,0,1.44,33.32,1021.68,285.04,Spain,female,2021-02-11,E-Wallet,276,1105,Visa,85,61
7590,1,1,1,30.52,6.52,3180.48,713.72,Netherlands,male,2021-02-06,Credit cards,291,1160,MasterCard,48,76
2246,0,0,0,31.28,19.92,4323.8,425,Iran,female,2021-02-16,Bank transfers,138,1046,JBC,14,94
4590,1,0,1,14.76,19.6,3677.44,269.68,Canada,male,2021-01-14,Credit cards,159,1211,MasterCard,7,22
2964,0,1,1,27.28,6.92,1472.48,465.48,Ireland,male,2021-01-22,Bank transfers,15,1152,Amex,61,22
2650,1,1,0,1.6,17.4,4301.68,583,Germany,female,2021-01-17,Mobile,99,1139,MasterCard,99,33
6578,1,0,1,12.84,23.56,2619.84,567.4,Ireland,male,2021-01-05,Mobile,167,1008,Amex,34,53
9791,0,0,1,32.88,19.84,1753.08,498.44,Australia,male,2021-01-02,Mobile,84,1073,JBC,89,82
3286,1,1,1,26.84,29.12,4150.88,862.76,Spain,female,2021-03-08,Prepaid cards,295,1108,MasterCard,56,22
2620,0,1,1,4.68,48.32,4307.2,619.92,Turkey,male,2021-02-25,Bank transfers,42,1154,Visa,74,34
7102,0,1,1,41.56,13.8,1130.04,491,Denmark,female,2021-03-09,Bank transfers,27,1071,JBC,39,25
2810,0,1,1,48.68,28.72,3986.52,948.88,Turkey,female,2021-01-26,Bank transfers,94,1081,Amex,57,6
6191,1,0,1,37.76,1.36,4905.4,661.84,Turkey,female,2021-02-09,E-Wallet,60,1135,Visa,100,55
9909,1,0,0,26.72,9.68,1490.96,375,Canada,male,2021-03-06,Bank transfers,29,1064,JBC,4,5
9409,0,0,1,44.56,32.84,2564.24,273.68,Ireland,female,2021-03-21,E-Wallet,179,1133,Amex,49,15
5717,0,1,0,34.64,49.72,3676.4,488.44,Turkey,male,2021-02-07,Prepaid cards,226,1070,MasterCard,56,62
1315,1,0,0,33.32,9.16,1293.92,840.64,United Kingdom,male,2021-02-20,E-Wallet,44,1079,MasterCard,41,42
3266,0,1,0,11.68,41.4,2415.4,299.04,Canada,male,2021-02-06,Mobile,22,1043,Amex,19,89
4229,1,0,0,15,28.56,4528.32,372.36,Iran,female,2021-02-07,Credit cards,67,1096,Visa,15,100
3336,1,1,0,5.36,30.48,3625.88,58.8,Brazil,male,2021-03-17,Mobile,7,1104,Visa,48,89
5406,0,1,1,37.8,41.36,1247.12,643.28,United Kingdom,female,2021-03-15,Bank transfers,224,1028,Visa,69,65
7525,0,0,0,1.28,16.2,3109.08,493.2,Canada,male,2021-02-17,Mobile,197,1185,Visa,96,89
1993,1,1,0,30.12,2.4,2236.76,697.4,Switzerland,male,2021-01-02,Credit cards,147,1257,JBC,87,35
4704,0,0,0,3,20.68,4610.6,743.56,Ireland,female,2021-03-02,Bank transfers,139,1054,JBC,97,5
7073,1,0,1,17.68,15.44,1338.84,469.48,Finland,male,2021-02-24,Mobile,84,1223,Visa,13,69
2557,0,1,1,8.4,27.12,4064.56,580.04,Finland,female,2021-02-11,E-Wallet,153,1201,Amex,44,76
1849,0,1,1,41,48.76,2061.2,806.52,Turkey,female,2021-02-27,Mobile,139,1156,JBC,86,72
2447,0,1,1,40.12,5.24,4638.44,740.44,Spain,female,2021-03-23,Credit cards,112,1133,JBC,91,100
4280,0,0,0,27.08,48.44,3214.24,280.92,New Zealand,male,2021-03-08,Credit cards,99,1056,Visa,73,2
6290,1,0,0,8.6,49,1031.48,748.68,United States,male,2021-01-25,Bank transfers,184,1045,MasterCard,5,37
5540,1,0,1,24.68,43.52,3972.24,415.4,Norway,male,2021-03-12,Mobile,191,1103,MasterCard,52,70
3540,0,1,1,25.96,4.56,3964.72,683.8,Finland,female,2021-02-08,Credit cards,296,1191,JBC,71,23
485,1,0,0,40,12.08,3818.28,413.64,United Kingdom,female,2021-02-19,Bank transfers,290,1183,Visa,51,86
49,0,1,0,15.68,7.6,1216.36,859.44,United States,female,2021-01-06,Prepaid cards,253,1230,Visa,93,37
6876,0,0,1,37.56,6.56,3685.24,636.04,Spain,female,2021-03-26,Prepaid cards,204,1092,JBC,43,12
3672,1,0,0,23.36,47.68,1377.96,559.64,New Zealand,male,2021-02-17,Credit cards,150,1121,Amex,65,50
8776,0,1,1,35.2,28.84,2837.24,456.48,Netherlands,female,2021-01-04,Credit cards,47,1195,MasterCard,7,90
7495,0,1,0,9.84,6.32,2075.32,853.6,Germany,female,2021-03-27,Credit cards,228,1076,MasterCard,91,22
3094,0,0,0,43.84,17.96,2960.44,923.6,Netherlands,female,2021-01-04,Bank transfers,298,1016,Amex,87,4
8470,0,1,0,23.44,15.96,4855.52,705.88,Turkey,female,2021-03-03,Mobile,267,1273,MasterCard,19,29
3575,1,0,1,31.56,43.36,2978.64,173.08,Norway,female,2021-03-22,Mobile,159,1124,Visa,6,9
7589,0,0,1,5.44,41.04,4694.48,687.64,United Kingdom,male,2021-02-02,Bank transfers,270,1071,MasterCard,91,69
7692,1,0,1,46.68,8.28,4933.64,502.32,Canada,male,2021-03-24,Bank transfers,119,1093,JBC,41,14
1726,0,1,1,19,17.96,2930.88,588.84,Canada,male,2021-03-04,Bank transfers,117,1113,Visa,20,42
7095,0,0,0,24.24,7.68,4224.72,855.88,Denmark,male,2021-02-08,Credit cards,28,1042,Visa,35,76
1708,0,1,1,36.4,22.28,1736.68,292.68,Finland,female,2021-02-22,Mobile,9,1251,Amex,22,65
919,0,1,0,46.16,3.52,4872.88,844.16,Norway,female,2021-01-20,Mobile,192,1084,MasterCard,100,33
7997,0,0,1,46,25.68,2907.12,198.16,New Zealand,female,2021-03-15,Bank transfers,198,1140,JBC,14,34
2488,1,1,1,48.64,37.76,2940.88,966.6,Denmark,male,2021-01-28,Bank transfers,39,1051,JBC,55,95
5846,0,1,0,40.88,19.48,1745.56,121.68,Iran,female,2021-01-18,Credit cards,192,1215,MasterCard,20,57
3915,0,1,1,27.08,34.76,3220,472.2,Finland,male,2021-03-31,Bank transfers,96,1086,Visa,59,61
5185,0,1,0,29.2,36.92,2463.16,668.8,Denmark,female,2021-01-03,Credit cards,256,1082,MasterCard,83,26
3875,1,1,0,46.64,40.56,2676.28,569.44,Australia,female,2021-03-24,Bank transfers,60,1160,Amex,80,26
4340,0,1,1,1.68,40.04,2512.08,949.8,Brazil,male,2021-02-10,Bank transfers,251,1125,JBC,37,7
7748,0,0,0,32.44,28.2,3304.72,501.52,Denmark,female,2021-01-17,E-Wallet,273,1048,Amex,1,73
9201,1,0,0,19.84,29.64,1221.04,635.52,Iran,male,2021-01-25,Bank transfers,192,1062,MasterCard,16,43
559,1,0,1,9.44,37.92,4194.12,670.6,Brazil,female,2021-02-25,Mobile,147,1207,Amex,28,61
4574,1,0,0,31.44,1.68,2421.76,613.04,Canada,male,2021-01-11,Prepaid cards,25,1129,Amex,96,52
4949,1,0,1,19.44,33.44,2497.48,285.76,United States,male,2021-01-22,Bank transfers,99,1105,Amex,83,60
2791,0,1,1,43.04,33.44,4218.32,913,France,female,2021-01-01,Prepaid cards,276,1273,Amex,34,24
4115,0,0,1,23.68,17.84,1591.48,374.68,Ireland,male,2021-02-11,Prepaid cards,54,1045,MasterCard,57,76
2120,0,0,1,37.56,29.84,2144.72,676.88,United Kingdom,male,2021-02-03,Mobile,264,1299,MasterCard,32,36
8567,1,1,0,12.32,9.56,2576.2,719.64,Denmark,male,2021-02-24,Mobile,273,1238,Visa,48,18
3170,0,0,1,49.72,1.12,2183.2,410.84,Turkey,female,2021-03-03,Prepaid cards,21,1224,MasterCard,99,45
2616,1,0,1,36.6,30.36,4157.52,480.8,Germany,female,2021-03-01,Bank transfers,293,1144,MasterCard,2,84
451,0,1,0,46.24,26.52,1478.84,627.92,Ireland,female,2021-03-14,Bank transfers,117,1000,Amex,27,64
1770,1,1,1,4.32,32.28,2083.08,344.68,Australia,male,2021-02-17,E-Wallet,36,1039,MasterCard,23,29
9753,0,0,0,47.04,29.28,3513.32,94.8,Germany,female,2021-03-15,Credit cards,214,1134,JBC,17,26
1989,0,1,0,8.04,13.4,4530.28,745.6,Ireland,female,2021-03-13,Bank transfers,294,1276,MasterCard,16,84
4114,0,0,0,35.64,42.44,4501.44,88.96,Denmark,female,2021-01-29,Prepaid cards,265,1222,Visa,35,26
4339,1,0,0,21.48,11.76,1279.64,890.24,Denmark,female,2021-02-27,Mobile,102,1035,Visa,11,90
1852,0,0,1,25.32,47.12,3447.52,299.84,United Kingdom,female,2021-02-12,Bank transfers,174,1293,JBC,6,13
5563,0,1,0,24.2,11.84,1816.52,521.44,United States,male,2021-03-10,Prepaid cards,273,1131,JBC,84,100
6681,1,1,1,44.28,33.92,4102.44,269.84,United Kingdom,female,2021-03-15,Credit cards,282,1176,Visa,47,71
4311,1,1,0,49.44,28,4022.64,859.16,Norway,male,2021-02-01,E-Wallet,103,1150,JBC,25,49
1185,0,0,1,6.44,38.24,3899.4,657.16,Finland,female,2021-02-28,Bank transfers,155,1265,MasterCard,44,39
1017,1,1,1,45.88,35.04,2625.76,560.08,Netherlands,male,2021-01-26,Mobile,9,1189,Visa,63,85
7961,1,0,1,14.36,5.44,2548.92,687.64,Spain,male,2021-01-10,Credit cards,30,1287,Visa,52,81
2959,0,0,0,33.28,16.96,1376.92,804.28,Turkey,male,2021-02-12,E-Wallet,295,1089,Amex,43,35
7707,1,1,0,36.76,17.96,4436.64,956.92,Switzerland,male,2021-02-12,Prepaid cards,152,1036,JBC,59,47
570,0,1,0,43.2,34.96,4736.32,350.4,Brazil,male,2021-01-17,E-Wallet,98,1006,JBC,22,69
2985,0,0,0,28.84,39.96,4694.52,170.76,Canada,male,2021-01-31,E-Wallet,34,1210,JBC,36,43
3547,1,1,1,16.36,17.24,3036.48,347.52,Australia,female,2021-01-17,Prepaid cards,111,1036,MasterCard,78,12
8431,1,0,1,35.32,45.4,3298.24,692.52,Spain,female,2021-02-23,Mobile,86,1063,JBC,23,31
7244,1,1,0,38.92,28,1041.84,692.2,Turkey,female,2021-02-19,Bank transfers,277,1194,MasterCard,13,96
5405,1,1,0,7.56,34.92,1951.44,575.88,United States,female,2021-03-11,Credit cards,238,1254,MasterCard,21,40
7704,0,0,1,49.2,2.6,3189.08,854.96,United Kingdom,male,2021-03-15,Mobile,84,1079,MasterCard,37,26
5394,0,1,0,42.04,37.04,2357.8,809.88,Australia,male,2021-01-25,Mobile,290,1215,MasterCard,27,96
5454,1,1,1,12.4,34.68,1871.44,962.92,Switzerland,female,2021-04-01,Credit cards,133,1177,JBC,3,80
9094,0,0,1,16.68,10.68,3378.48,448.2,Denmark,male,2021-02-23,E-Wallet,272,1268,Amex,62,6
9480,0,0,1,47.88,5,2519.8,717.72,New Zealand,male,2021-02-08,E-Wallet,192,1066,MasterCard,10,61
2260,0,0,0,42.28,21.76,4261.04,548,New Zealand,male,2021-01-24,Bank transfers,261,1164,MasterCard,8,41
4486,0,1,0,45.68,47.68,2751.44,572.04,Finland,female,2021-02-23,E-Wallet,171,1102,MasterCard,87,28
4596,0,0,1,18.28,2.12,1722.72,935.2,Netherlands,female,2021-01-18,Credit cards,12,1136,MasterCard,82,69
7299,1,0,0,31.56,8.12,2513.48,384.72,Netherlands,female,2021-01-29,E-Wallet,136,1223,MasterCard,11,86
3447,1,1,0,21.44,43.56,3260.6,848.04,Brazil,female,2021-01-29,E-Wallet,140,1029,Amex,87,19
4146,0,1,0,27.76,23.8,1226.12,128,Canada,female,2021-03-28,Credit cards,298,1176,MasterCard,4,76
3652,0,0,0,35.44,20.56,1808,975.84,Finland,male,2021-02-21,Credit cards,203,1128,MasterCard,89,41
3476,1,1,0,31.48,40.48,2568.64,561.84,Spain,male,2021-02-26,Bank transfers,74,1119,MasterCard,70,19
4163,1,1,1,8.36,36.92,1395.28,665.56,Ireland,male,2021-03-19,Mobile,277,1231,MasterCard,27,88
6118,1,0,1,29.12,18,3191.28,668.4,Denmark,female,2021-02-13,Prepaid cards,54,1230,MasterCard,18,20
1414,0,1,1,22.68,23.12,2271.72,313.4,Australia,female,2021-03-05,Bank transfers,139,1269,Amex,75,12
1260,1,1,1,23.12,26.2,1440.88,660.48,Denmark,male,2021-02-02,Mobile,85,1176,JBC,5,1
3539,1,0,0,29.08,25.6,3773.12,787.36,Turkey,female,2021-02-14,Credit cards,298,1014,MasterCard,67,51
3002,0,0,0,11.32,5.08,1909.84,236.72,New Zealand,male,2021-01-13,Prepaid cards,89,1265,Amex,74,72
7292,1,1,0,17.48,8.12,3074.32,470.16,Germany,male,2021-01-21,Bank transfers,11,1184,MasterCard,79,100
4933,0,1,1,13.44,24.52,4922.52,955.56,Spain,male,2021-02-03,Prepaid cards,160,1171,MasterCard,42,86
4194,0,0,0,49.52,34.8,1701.88,749.48,New Zealand,female,2021-02-08,Credit cards,152,1148,JBC,68,7
7614,1,1,0,45.72,4.76,3983.4,980.24,United Kingdom,female,2021-03-29,E-Wallet,191,1196,Visa,55,64
8564,0,0,0,39.52,45.44,3689.48,213.36,France,male,2021-01-14,Mobile,209,1251,MasterCard,45,99
2573,0,1,1,27.16,21.28,1746.08,708.04,Ireland,female,2021-02-09,E-Wallet,105,1230,MasterCard,93,70
9202,0,0,1,18.76,43.24,2021.36,882.12,United Kingdom,male,2021-03-12,Mobile,168,1099,JBC,97,83
9387,0,0,1,40.4,48.88,2632.36,333.12,Australia,male,2021-03-31,E-Wallet,232,1187,MasterCard,9,48
7533,0,1,1,43.28,42.12,3279.64,244.12,Canada,female,2021-01-08,Prepaid cards,215,1054,JBC,65,5
3426,1,1,1,48.36,47.4,2298.68,838.88,New Zealand,male,2021-02-24,Credit cards,282,1102,JBC,75,67
6122,0,1,1,10.2,28.48,1197,881.44,United States,male,2021-03-29,Mobile,46,1080,Visa,45,90
3974,0,1,0,2.56,34.96,2994.68,990.56,Brazil,female,2021-02-07,Prepaid cards,110,1194,Visa,41,23
7703,1,1,0,41.36,40.64,4793.16,940.28,Ireland,male,2021-02-01,Bank transfers,129,1006,JBC,66,44
6949,1,0,0,1.08,34.92,2075.16,744.36,Ireland,female,2021-01-28,Credit cards,26,1049,Visa,21,70
4331,0,1,0,36.92,22.72,2486.52,283.28,Spain,male,2021-03-05,Credit cards,98,1158,MasterCard,41,78
8468,1,1,0,29.8,30.68,4582.36,398.2,Denmark,female,2021-02-12,Bank transfers,215,1277,Amex,72,41
361,0,1,1,10.6,43.24,4361.68,237.04,United Kingdom,female,2021-01-19,E-Wallet,275,1238,Amex,6,69
1879,1,1,1,17.88,27.88,3096.04,494.52,Switzerland,male,2021-03-04,Mobile,71,1030,JBC,19,84
9929,0,1,1,37.84,46.52,1976.16,663.32,Switzerland,male,2021-02-12,Credit cards,198,1118,MasterCard,55,25
2702,1,1,0,20.76,48.44,4110.48,320.52,New Zealand,female,2021-01-06,Credit cards,69,1255,Visa,63,90
9421,0,0,1,4.92,1.56,4160.2,254.8,New Zealand,male,2021-02-16,E-Wallet,74,1050,MasterCard,1,40
5807,0,0,1,5.28,23.12,3532.32,467.8,United States,female,2021-03-03,Prepaid cards,209,1121,JBC,70,56
8260,0,1,0,47.28,26.44,4945.76,605.24,Ireland,female,2021-03-14,Credit cards,211,1099,JBC,3,21
7150,1,1,1,47.04,44,4171.16,108.84,Brazil,male,2021-02-06,Credit cards,89,1014,Amex,56,14
2226,0,0,1,17.96,24.64,4365.6,990.52,United Kingdom,female,2021-03-09,Bank transfers,229,1085,MasterCard,64,22
997,0,0,0,5.16,9.12,4226.76,852.4,Iran,female,2021-03-17,E-Wallet,51,1045,Visa,34,1
5589,1,1,1,17,12.16,2513.88,248.8,Finland,male,2021-01-10,E-Wallet,85,1239,MasterCard,92,86
8051,1,0,1,47.88,1,4555.32,396,France,female,2021-01-06,Prepaid cards,14,1031,MasterCard,27,91
3888,0,0,0,21.32,44.56,1442.88,691.64,Canada,female,2021-02-21,Credit cards,281,1101,JBC,20,10
4371,0,0,0,11.88,35.88,2155.28,910.48,Germany,male,2021-03-03,Credit cards,174,1165,MasterCard,4,20
4549,1,0,0,45.84,8.68,1022.68,79.28,Germany,female,2021-03-22,Credit cards,34,1129,JBC,85,51
2670,1,0,1,33.48,39.8,3312.4,522.04,Brazil,female,2021-01-05,Mobile,129,1109,Visa,23,61
9630,1,0,1,39.44,7.36,4829,548.36,United States,male,2021-01-23,Credit cards,220,1126,Visa,6,85
8615,0,0,0,44.36,28.12,2384.84,69.92,United Kingdom,male,2021-03-31,Mobile,192,1162,MasterCard,66,74
1045,1,1,0,43.32,33.44,3477.08,261.08,Brazil,male,2021-03-08,Bank transfers,42,1114,Visa,67,40
578,1,0,0,48.4,27,2284.64,735.92,Australia,male,2021-03-03,Credit cards,260,1059,JBC,51,96
7343,0,1,0,19.04,44.64,4764.96,832.12,Norway,female,2021-01-23,Mobile,170,1095,Amex,66,32
2583,0,0,1,31.76,35.44,3252.28,508.72,Spain,female,2021-02-08,Bank transfers,123,1130,Visa,79,100
9667,0,0,0,26.88,21.76,2151.2,430.48,Switzerland,female,2021-01-18,Prepaid cards,161,1008,Visa,83,98
8081,0,1,0,31.8,49.44,1256.52,108.24,Canada,female,2021-02-02,Credit cards,177,1168,MasterCard,97,42
3703,0,0,1,14.36,18.96,1308.68,511.36,New Zealand,male,2021-01-03,Prepaid cards,168,1192,Visa,78,91
8724,0,1,0,12.04,36.12,3372.96,433.84,Iran,male,2021-02-19,Mobile,140,1074,Amex,50,72
136,0,0,1,10.36,37.8,3420.32,568.92,Iran,male,2021-01-11,Mobile,264,1134,Amex,92,82
6369,0,1,1,4.12,27.68,1197.44,405.32,Finland,male,2021-03-28,Credit cards,49,1300,JBC,2,9
6800,1,0,0,19.36,1.56,2454.12,304.8,Turkey,female,2021-02-14,Prepaid cards,197,1245,MasterCard,72,47
7486,0,1,1,40.84,2.96,1947.64,170.52,Iran,female,2021-02-09,E-Wallet,131,1168,Visa,80,53
3039,0,0,1,18.92,47,3829.24,994.4,Australia,female,2021-02-28,Bank transfers,178,1116,Amex,47,94
3711,0,0,0,38.52,26.76,3607.68,258.56,United States,male,2021-01-02,Bank transfers,270,1222,Amex,10,57
1057,1,1,0,29.2,8.28,2405.44,655.76,Finland,female,2021-01-21,Prepaid cards,140,1296,MasterCard,41,14
8848,1,0,1,28.56,23.72,1223,287.2,France,male,2021-03-11,Prepaid cards,43,1009,Amex,16,51
6911,0,1,1,27.96,25.88,1881.04,393.08,Brazil,female,2021-02-16,E-Wallet,182,1269,Amex,78,78
994,1,0,0,7.08,10.52,2766.8,152.8,Norway,male,2021-03-12,Bank transfers,52,1220,Visa,92,69
2340,1,0,0,2.44,45.16,3633.4,583.36,Norway,female,2021-03-21,Credit cards,84,1219,Visa,56,52
3467,1,1,1,9.76,22.48,3593.36,545.2,Ireland,male,2021-01-23,E-Wallet,79,1035,MasterCard,55,6
